año,mes,mes_del_año,semestre,trimestre,mes_idx,producto,descripcion_producto,precio_promedio_bs_kg,n_lotes_activos,tasa_completado,factor_estacional,demanda_total_kg,demanda_promedio_por_lote_kg,demanda_siguiente_mes_kg
2025,12,12,2,4,44,Azucar,Derivado de la Caña,4.41,6,1.0,1.12,139290.65,23215.11,181843.47
2026,1,1,1,1,45,Azucar,Derivado de la Caña,4.85,9,1.0,1.2,152073.27,16897.03,177879.3
2026,1,1,1,1,46,Azucar,Derivado de la Caña,4.86,8,1.0,1.2,139882.65,17485.33,166722.23
2026,3,3,1,1,47,Azucar,Derivado de la Caña,4.67,8,1.0,1.15,158919.39,19864.92,176855.63
2026,4,4,1,2,48,Azucar,Derivado de la Caña,4.42,9,0.8889,1.1,201592.73,22399.19,199723.26
2026,5,5,1,2,49,Azucar,Derivado de la Caña,3.67,6,0.8333,0.9,127238.74,21206.46,129703.81
2022,4,4,1,2,0,Trigo,"Harina, pan y fideos",2.89,5,0.8,0.95,58767.43,11753.49,59351.36
2022,5,5,1,2,1,Trigo,"Harina, pan y fideos",2.75,9,0.8889,0.92,93339.53,10371.06,86369.0
2022,6,6,1,2,2,Trigo,"Harina, pan y fideos",2.74,5,0.6,0.9,43667.54,8733.51,43304.26
2022,7,7,2,3,3,Trigo,"Harina, pan y fideos",2.79,6,0.6667,0.92,73223.99,12204.0,89058.59
2022,8,8,2,3,4,Trigo,"Harina, pan y fideos",3.28,7,0.8571,1.08,116854.72,16693.53,120299.21
2022,9,9,2,3,5,Trigo,"Harina, pan y fideos",3.54,5,1.0,1.15,72460.58,14492.12,71363.74
2022,10,10,2,4,6,Trigo,"Harina, pan y fideos",3.32,7,0.8571,1.05,114580.59,16368.66,106056.35
2022,11,11,2,4,7,Trigo,"Harina, pan y fideos",2.81,6,0.6667,0.9,57830.66,9638.44,71292.62
2022,12,12,2,4,8,Trigo,"Harina, pan y fideos",2.99,6,0.8333,1.0,86919.15,14486.52,94181.11
2023,1,1,1,1,9,Trigo,"Harina, pan y fideos",3.21,6,1.0,1.05,99638.39,16606.4,101859.65
2023,2,2,1,1,10,Trigo,"Harina, pan y fideos",3.16,9,0.6667,1.0,112048.05,12449.78,113012.57
2023,3,3,1,1,11,Trigo,"Harina, pan y fideos",3.24,9,0.7778,0.98,148485.19,16498.35,154207.67
2023,4,4,1,2,12,Trigo,"Harina, pan y fideos",3.03,8,0.5,0.95,112567.58,14070.95,111472.67
2023,5,5,1,2,13,Trigo,"Harina, pan y fideos",2.98,8,1.0,0.92,106589.5,13323.69,107321.05
2023,6,6,1,2,14,Trigo,"Harina, pan y fideos",2.88,6,0.6667,0.9,85453.12,14242.19,94582.32
2023,7,7,2,3,15,Trigo,"Harina, pan y fideos",2.8,6,0.5,0.92,38543.52,6423.92,52060.95
2023,8,8,2,3,16,Trigo,"Harina, pan y fideos",3.46,7,1.0,1.08,78549.04,11221.29,95683.87
2023,9,9,2,3,17,Trigo,"Harina, pan y fideos",3.71,5,0.8,1.15,68441.86,13688.37,69248.92
2023,10,10,2,4,18,Trigo,"Harina, pan y fideos",3.47,8,0.75,1.05,114257.03,14282.13,109242.29
2023,11,11,2,4,19,Trigo,"Harina, pan y fideos",2.9,10,0.8,0.9,148715.07,14871.51,184462.18
2023,12,12,2,4,20,Trigo,"Harina, pan y fideos",3.36,10,1.0,1.0,158870.99,15887.1,190823.48
2024,1,1,1,1,21,Trigo,"Harina, pan y fideos",3.6,7,0.7143,1.05,102224.04,14603.43,111132.43
2024,2,2,1,1,22,Trigo,"Harina, pan y fideos",3.41,8,1.0,1.0,118196.67,14774.58,132793.79
2024,3,3,1,1,23,Trigo,"Harina, pan y fideos",3.27,6,0.6667,0.98,59826.57,9971.09,63327.88
2024,4,4,1,2,24,Trigo,"Harina, pan y fideos",3.16,5,0.8,0.95,67533.37,13506.67,73596.49
2024,5,5,1,2,25,Trigo,"Harina, pan y fideos",3.16,9,0.8889,0.92,156774.61,17419.4,173217.44
2024,6,6,1,2,26,Trigo,"Harina, pan y fideos",3.13,6,1.0,0.9,89953.3,14992.22,111964.87
2024,7,7,2,3,27,Trigo,"Harina, pan y fideos",3.09,4,0.75,0.92,69242.05,17310.51,91066.33
2024,8,8,2,3,28,Trigo,"Harina, pan y fideos",3.81,4,1.0,1.08,54956.15,13739.04,69287.28
2024,9,9,2,3,29,Trigo,"Harina, pan y fideos",3.97,9,1.0,1.15,154435.92,17159.55,154740.36
2024,10,10,2,4,30,Trigo,"Harina, pan y fideos",3.67,9,0.8889,1.05,92855.66,10317.3,89140.96
2024,11,11,2,4,31,Trigo,"Harina, pan y fideos",3.16,9,0.6667,0.9,130630.27,14514.47,160147.66
2024,12,12,2,4,32,Trigo,"Harina, pan y fideos",3.46,4,0.75,1.0,56848.19,14212.05,67437.3
2025,1,1,1,1,33,Trigo,"Harina, pan y fideos",3.7,5,0.8,1.05,77290.87,15458.17,81881.29
2025,2,2,1,1,34,Trigo,"Harina, pan y fideos",3.44,8,0.875,1.0,125425.45,15678.18,139850.19
2025,3,3,1,1,35,Trigo,"Harina, pan y fideos",3.37,9,0.6667,0.98,99614.53,11068.28,117893.4
2025,4,4,1,2,36,Trigo,"Harina, pan y fideos",3.4,7,1.0,0.95,129536.14,18505.16,154706.1
2025,5,5,1,2,37,Trigo,"Harina, pan y fideos",3.35,6,0.8333,0.92,99258.79,16543.13,114643.0
2025,6,6,1,2,38,Trigo,"Harina, pan y fideos",3.29,4,0.75,0.9,46873.06,11718.26,55381.92
2025,7,7,2,3,39,Trigo,"Harina, pan y fideos",3.37,8,0.875,0.92,120213.45,15026.68,165291.31
2025,8,8,2,3,40,Trigo,"Harina, pan y fideos",3.95,9,0.7778,1.08,105419.94,11713.33,145006.9
2025,9,9,2,3,41,Trigo,"Harina, pan y fideos",4.2,6,0.8333,1.15,89921.91,14986.99,96535.74
2025,10,10,2,4,42,Trigo,"Harina, pan y fideos",3.81,5,1.0,1.05,112806.81,22561.36,123067.08
2025,11,11,2,4,43,Trigo,"Harina, pan y fideos",3.39,6,0.8333,0.9,75243.26,12540.54,102770.42
2025,12,12,2,4,44,Trigo,"Harina, pan y fideos",3.65,9,0.8889,1.0,149778.36,16642.04,206506.25
2026,1,1,1,1,45,Trigo,"Harina, pan y fideos",3.87,5,0.8,1.05,53288.83,10657.77,59709.36
2026,1,1,1,1,46,Trigo,"Harina, pan y fideos",3.99,9,1.0,1.05,122998.81,13666.53,148528.82
2026,3,3,1,1,47,Trigo,"Harina, pan y fideos",3.65,9,1.0,0.98,201535.81,22392.87,241777.92
2026,4,4,1,2,48,Trigo,"Harina, pan y fideos",3.61,9,0.8889,0.95,128706.31,14300.7,162866.55
2026,5,5,1,2,49,Trigo,"Harina, pan y fideos",3.44,5,0.2,0.92,74137.88,14827.58,98531.75
